Brand,Name,Size,Price,URL,Timestamp,Note
1st Player,Mi7-A ,ATX,199,https://brightstarcomp.com/collections/pc-components/products/1st-player-mi7-a-black-white-double-sided-tempered-glass-megaview-tower-atx-pc-gaming-casing-mi7a?_pos=5&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,"Tempered Glass, Black"
1st Player,Mi7-A ,ATX,199,https://brightstarcomp.com/collections/pc-components/products/1st-player-mi7-a-black-white-double-sided-tempered-glass-megaview-tower-atx-pc-gaming-casing-mi7a?_pos=5&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,"Tempered Glass, White"
1st Player,T7-P ,ATX,199,https://brightstarcomp.com/collections/pc-components/products/1st-player-t7-p-tempered-glass-mid-tower-atx-chassis?_pos=13&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,"Tempered Glass, Black"
1st Player,T7-P ,ATX,209,https://brightstarcomp.com/collections/pc-components/products/1st-player-t7-p-tempered-glass-mid-tower-atx-chassis?_pos=13&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,"Tempered Glass, White"
Aerocool,Interstellar,ATX,389,https://brightstarcomp.com/collections/pc-components/products/aerocool-interstellar-mid-tower-atx-pc-case?_pos=19&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,
Aerocool,Pivot V2,ATX,119,https://brightstarcomp.com/collections/pc-components/products/aerocool-pivot-v2-mid-tower-atx-pc-chassis?_pos=20&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,White
Aerocool,Pivot V2,ATX,149,https://brightstarcomp.com/collections/pc-components/products/aerocool-pivot-v2-mid-tower-atx-pc-chassis?_pos=20&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,Black
Antec,P120 Cyrstal,ATX,399,https://brightstarcomp.com/collections/pc-components/products/antec-p120-cyrstal-atx-chassis?_pos=23&_fid=559632eaf&_ss=c,2025-03-18 22:12:11,
Asus,Proart PA602,ATX,1290,https://brightstarcomp.com/collections/pc-components/products/asus-proart-pa602-tempered-glass-atx-pc-chasis-black?_pos=28&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,"Tempered Glass, Black"
Asus,TUF Gaming GT301,ATX,445,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt301-mid-tower-atx-pc-chassis?_pos=31&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,
Asus,TUF Gaming GT302 ARGB,ATX,569,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt302-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=32&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,"Tempered Glass, Black"
Asus,TUF Gaming GT302 ARGB ,ATX,599,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt302-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=32&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,"Tempered Glass, White"
Asus,TUF Gaming GT502,ATX,766,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt502-mid-tower-atx-pc-chassis?_pos=33&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Black
Asus,TUF Gaming GT502,ATX,785,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt502-mid-tower-atx-pc-chassis?_pos=33&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,White
BeQuiet,Pure Base 500 Window,ATX,359,https://brightstarcomp.com/collections/pc-components/products/bequiet-pure-base-500-window-atx-chassis?_pos=34&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,
Cooler Master,HAF500,ATX,399,https://brightstarcomp.com/collections/pc-components/products/cooler-master-haf500-white-atx-chassis-h500-wgnn-s00?_pos=35&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,White
Corsair,3000D Airflow,ATX,279,https://brightstarcomp.com/collections/pc-components/products/corsair-3000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=38&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,3000D RGB Airflow,ATX,349,https://brightstarcomp.com/collections/pc-components/products/corsair-3000d-rgb-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=39&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,3500X ARGB,ATX,439,https://brightstarcomp.com/collections/pc-components/products/corsair-3500x-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=40&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,3500X,ATX,339,https://brightstarcomp.com/collections/pc-components/products/corsair-3500x-tempered-glass-mid-tower-atx-pc-chassis?_pos=41&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,4000D Airflow,ATX,369,https://brightstarcomp.com/collections/pc-components/products/corsair-4000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=42&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,5000D Airflow,ATX,629,https://brightstarcomp.com/collections/pc-components/products/corsair-5000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=43&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,5000D,ATX,449,https://brightstarcomp.com/collections/pc-components/products/corsair-5000d-tempered-glass-mid-tower-white-atx-chassis-cc-9011209-ww?_pos=44&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,"Tempered Glass, White  "
Corsair,7000D Airflow,ATX,599,https://brightstarcomp.com/collections/pc-components/products/corsair-7000d-airflow-tempered-glass-full-tower-atx-pc-chassis?_pos=45&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,iCUE 3500X ARGB,ATX,609,https://brightstarcomp.com/collections/pc-components/products/corsair-icue-3500x-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=46&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,iCUE 5000X RGB  ,ATX,609,https://brightstarcomp.com/collections/pc-components/products/corsair-icue-5000x-rgb-tempered-glass-mid-tower-atx-chassis-cc-9011213-ww?_pos=47&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
Corsair,iCUE 7000X RGB,ATX,1257,https://brightstarcomp.com/collections/pc-components/products/corsair-icue-7000x-rgb-tempered-glass-atx-pc-chassis?_pos=48&_fid=559632eaf&_ss=c,2025-03-18 22:12:12,Tempered Glass
DeepCool,CG530,ATX,279,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg530-mid-tower-atx-pc-chassis?_pos=50&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,Black 
DeepCool,CG530,ATX,289,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg530-mid-tower-atx-pc-chassis?_pos=50&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,White
DeepCool,CG580,ATX,269,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg580-mid-tower-atx-pc-chassis?_pos=51&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,Black 
DeepCool,CG580,ATX,279,https://brightstarcomp.com/collections/pc-components/products/deepcool-cg580-mid-tower-atx-pc-chassis?_pos=51&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,White
E-SUPERCASE,Inspire M1610BS,ATX,149,https://brightstarcomp.com/collections/pc-components/products/e-supercase-inspire-m1610bs-mid-tower-atx-pc-chassis?_pos=58&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
E-SUPERCASE,Value 3105 with 230W PSU,ATX,129,https://brightstarcomp.com/collections/pc-components/products/e-supercase-value-3105-with-230w-psu-mid-tower-atx-pc-chasis?_pos=59&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,Focus 2 RGB TG Clear Tint,ATX,379,https://brightstarcomp.com/collections/pc-components/products/fractal-design-focus-2-rgb-tg-clear-tint-mid-tower-atx-pc-chassis?_pos=60&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,North Mesh,ATX,659,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-mesh-mid-tower-atx-pc-chassis?_pos=62&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,North Tempered Glass Clear Tint,ATX,659,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-tempered-glass-clear-tint-mid-tower-atx-pc-chassis?_pos=63&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,North XL Mesh,ATX,899,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-xl-mesh-mid-tower-atx-pc-chassis?_pos=64&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,North XL Tempered Glass Dark / Clear,ATX,899,https://brightstarcomp.com/collections/pc-components/products/fractal-design-north-xl-tempered-glass-dark-clear-mid-tower-atx-pc-chassis?_pos=65&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Fractal Design,Pop Air RGB White Tempered Glass Clear Tint,ATX,419,https://brightstarcomp.com/collections/pc-components/products/fractal-design-pop-air-rgb-white-tempered-glass-clear-tint-mid-tower-atx-pc-chassis?_pos=66&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,
Gigabyte,C301 Glass,ATX,359,https://brightstarcomp.com/collections/pc-components/products/gigabyte-c301-glass-mid-tower-atx-pc-chassis?_pos=72&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,Black
Gigabyte,C301 Glass,ATX,369,https://brightstarcomp.com/collections/pc-components/products/gigabyte-c301-glass-mid-tower-atx-pc-chassis?_pos=72&_fid=559632eaf&_ss=c,2025-03-18 22:12:13,White
Hyte,Y40,ATX,669,https://brightstarcomp.com/collections/pc-components/products/hyte-y40-mid-tower-atx-pc-chassis?_pos=74&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,
Hyte,Y60 Dual Chamber,ATX,889,https://brightstarcomp.com/collections/pc-components/products/hyte-y60-dual-chamber-mid-tower-atx-pc-chassis?_pos=75&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,
Hyte,Y70 Dual Chamber,ATX,899,https://brightstarcomp.com/collections/pc-components/products/hyte-y70-dual-chamber-mid-tower-atx-pc-chassis?_pos=76&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,
Hyte,Y70 Touch Infinite Dual Chamber With Touchscreen,ATX,1899,https://brightstarcomp.com/collections/pc-components/products/hyte-y70-touch-infinite-dual-chamber-with-touchscreen-mid-tower-atx-pc-chassis?_pos=77&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,
Invasion,Genesis,ATX,339,https://brightstarcomp.com/collections/pc-components/products/invasion-genesis-mid-tower-atx-pc-chassis-white?_pos=81&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,White
Invasion,GT-205,ATX,169,https://brightstarcomp.com/collections/pc-components/products/invasion-gt-205-mid-tower-atx-pc-chassis?_pos=83&_fid=559632eaf&_ss=c,2025-03-18 22:12:14,
