Brand,Name,Socket,Size,DDR,RAM Slot,NVME Slot,SATA Slot,Wifi,Price,URL,Timestamp,Note
GIGABYTE,H610M K,LGA1700,MATX,DDR4,2,1,2,0,299,https://czone.my/czone/h610m k ddr4-1739103426.html,2025-03-19 14:21:27,
ASUS,PRIME X870-P WIFI-CSM,AM5,ATX,DDR5,4,4,2,1,1710,https://brightstarcomp.com/collections/pc-components/products/asus-prime-x870-p-wifi-csm-am5-atx-motherboard?_pos=48&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,CSM
ASUS,ROG STRIX X870-A GAMING WIFI,AM5,ATX,DDR5,4,4,2,1,2290,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-x870-a-gaming-wifi-am5-atx-motherboard?_pos=65&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG STRIX X870-F GAMING WIFI,AM5,ATX,DDR5,4,4,2,1,2470,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-x870-f-gaming-wifi-am5-atx-motherboard?_pos=66&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,TUF GAMING X870-PLUS WIFI,AM5,ATX,DDR5,4,4,2,1,2010,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-x870-plus-wifi-am5-atx-motherboard?_pos=80&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
GIGABYTE,A520M K V2,AM4,MATX,DDR4,2,1,4,0,259,https://brightstarcomp.com/collections/pc-components/products/gigabyte-a520m-k-v2-am4-micro-atx-motherboard?_pos=87&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
MSI,A520M-A Pro,AM4,MATX,DDR4,2,1,4,0,239,https://czone.my/czone/a520m-a pro-1739106873.html,2025-03-19 14:21:27,
MSI,A520M-A PRO,AM4,MATX,DDR4,2,1,4,0,249,https://brightstarcomp.com/collections/pc-components/products/msi-a520m-a-pro-am4-micro-atx-motherboard?_pos=127&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
ASRock,A520M/ac WiFi,AM4,MATX,DDR4,2,1,4,1,299,https://brightstarcomp.com/collections/pc-components/products/asrock-a520m-ac-wifi-am4-micro-atx-motherboard?_pos=1&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
MSI,B450M Pro-VDH Max,AM4,MATX,DDR4,4,1,4,0,309,https://brightstarcomp.com/collections/pc-components/products/msi-b450m-pro-vdh-max-am4-micro-atx-motherboard?_pos=128&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
ASRock,B450M-HDV R4.0,AM4,MATX,DDR4,2,1,4,0,259,https://brightstarcomp.com/collections/pc-components/products/asrock-b450m-hdv-r4-0-am4-micro-atx-motherboard?_pos=4&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
GIGABYTE,B550 AORUS Elite AX V2,AM4,ATX,DDR4,4,2,4,1,799,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b550-aorus-elite-ax-v2-am4-atx-motherboard?_pos=90&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
MSI,B550M-A Pro,AM4,MATX,DDR4,2,1,4,0,319,https://czone.my/czone/b550m-a pro-1739103144.html,2025-03-19 14:21:27,
ASRock,B550M-HDV,AM4,MATX,DDR4,2,1,4,0,309,https://czone.my/czone/b550m-hdv-1739103144.html,2025-03-19 14:21:27,
ASRock,B550M-HDV,AM4,MATX,DDR4,2,1,4,0,329,https://brightstarcomp.com/collections/pc-components/products/asrock-b550m-hdv-am4-micro-atx-motherboard?_pos=8&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
GIGABYTE,B650 AORUS Elite AX ,AM5,ATX,DDR5,4,3,4,1,1099,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b650-aorus-elite-ax-ice-am5-atx-motherboard?_pos=93&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,Ice
ASRock,B650 Steel Legend WiFi,AM5,ATX,DDR5,4,3,4,1,1049,https://brightstarcomp.com/collections/pc-components/products/asrock-b650-steel-legend-wifi-am5-atx-motherboard?_pos=10&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
GIGABYTE,B760 AORUS Elite AX,LGA1700,ATX,DDR4,4,3,4,1,1059,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b760-aorus-elite-ax-ddr4-lga1700-atx-motherboard?_pos=100&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
GIGABYTE,B760 DS3H AX,LGA1700,ATX,DDR4,4,2,4,1,829,https://brightstarcomp.com/collections/pc-components/products/gigabyte-b760-ds3h-ax-lga1700-atx-motherboard?_pos=102&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
ASRock,B760 Pro RS,LGA1700,ATX,DDR5,4,3,4,0,669,https://brightstarcomp.com/collections/pc-components/products/asrock-b760-pro-rs-lga1700-atx-motherboard?_pos=15&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
ASRock,B760M PG Lightning/D4  ,LGA1700,MATX,DDR4,4,2,4,0,499,https://brightstarcomp.com/collections/pc-components/products/asrock-b760m-pg-lightning-d4-lga1700-m-atx-motherboard?_pos=17&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
ASRock,H410M-H,LGA1200,MATX,DDR4,2,1,4,0,275,,,
GIGABYTE,H610M H,LGA1700,MATX,DDR4,2,1,4,0,319,https://czone.my/czone/h610m h v3 ddr4-4286.html,2025-03-19 14:21:24,
ASRock,Phantom Gaming X870 Riptide WiFi,AM5,ATX,DDR5,4,3,4,1,1499,https://brightstarcomp.com/collections/pc-components/products/asrock-phantom-gaming-x870-riptide-wifi-am5-atx-motherboard?_pos=31&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASUS,PRIME A520M-K,AM4,MATX,DDR4,2,1,4,0,259,https://brightstarcomp.com/collections/pc-components/products/asus-prime-a520m-k-am4-micro-atx-motherboard?_pos=39&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASUS,Prime H610M-K,LGA1700,MATX,DDR4,2,1,4,0,299,,,
ASUS,PRIME Z690-P WiFi D4,LGA1700,ATX,DDR4,4,3,4,1,1300,,,
ASUS,Prime Z790-P WIFI-CSM,LGA1700,ATX,DDR5,4,3,4,1,1299,https://brightstarcomp.com/collections/pc-components/products/asus-prime-z790-p-wifi-csm-lga1700-atx-motherboard?_pos=49&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,CSM
ASUS,Prime Z890-P WiFi CSM,LGA1851,ATX,DDR5,4,4,4,1,1550,https://brightstarcomp.com/collections/pc-components/products/asus-prime-z890-p-wifi-csm-lga1851-atx-motherboard?_pos=50&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,CSM
ASUS,ProArt B760-CREATOR,LGA1700,ATX,DDR5,4,3,4,0,1399,https://brightstarcomp.com/collections/pc-components/products/asus-proart-b760-creator-lga1700-atx-motherboard?_pos=51&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ProArt X870E-CREATOR WIFI,AM5,ATX,DDR5,4,4,4,1,2690,https://brightstarcomp.com/collections/pc-components/products/asus-proart-x870e-creator-wifi-am5-atx-motherboard?_pos=52&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG CROSSHAIR X870E HERO,AM5,ATX,DDR5,4,5,4,1,4080,https://brightstarcomp.com/collections/pc-components/products/asus-rog-crosshair-x870e-hero-am5-atx-motherboard?_pos=53&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Maximus Z790 Hero BTF,LGA1700,ATX,DDR5,4,5,4,1,2999,https://brightstarcomp.com/collections/pc-components/products/asus-rog-maximus-z790-hero-btf-lga1700-atx-motherboard?_pos=54&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Maximus Z890 Apex,LGA1851,ATX,DDR5,2,6,4,1,3600,https://brightstarcomp.com/collections/pc-components/products/asus-rog-maximus-z890-apex-lga1851-atx-motherboard?_pos=55&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Maximus Z890 Extreme,LGA1851,ATX,DDR5,4,6,4,1,5200,https://brightstarcomp.com/collections/pc-components/products/asus-rog-maximus-z890-extreme-lga1851-atx-motherboard?_pos=56&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Maximus Z890 Hero,LGA1851,ATX,DDR5,4,6,4,1,3650,https://brightstarcomp.com/collections/pc-components/products/asus-rog-maximus-z890-hero-lga1851-atx-motherboard?_pos=57&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix B650-A Gaming WIFI,AM5,ATX,DDR5,4,3,4,1,1519,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-b650-a-gaming-wifi-am5-atx-motherboard?_pos=58&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix B660-F Gaming WIFI,LGA1700,ATX,DDR5,4,3,4,1,849,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-b660-f-gaming-wifi-lga1700-atx-motherboard?_pos=60&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix B760-A Gaming WIFI,LGA1700,ATX,DDR5,4,3,4,1,1199,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-b760-a-gaming-wifi-lga1700-atx-motherboard?_pos=62&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix B760-F Gaming WIFI,LGA1700,ATX,DDR5,4,3,4,1,1399,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-b760-f-gaming-wifi-lga1700-atx-motherboard?_pos=63&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix X870E-E Gaming WiFi,AM5,ATX,DDR5,4,5,4,1,2870,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-x870e-e-gaming-wifi-am5-atx-motherboard?_pos=67&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix Z790-A Gaming WIFI II,LGA1700,ATX,DDR5,4,5,4,1,1999,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-z790-a-gaming-wifi-ii-lga1700-atx-motherboard?_pos=69&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix Z790-F Gaming WIFI II,LGA1700,ATX,DDR5,4,5,4,1,1999,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-z790-f-gaming-wifi-ii-lga1700-atx-motherboard?_pos=70&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix Z890-A Gaming WiFi,LGA1851,ATX,DDR5,4,5,4,1,2200,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-z890-a-gaming-wifi-lga1851-atx-motherboard?_pos=72&_fid=5b876dc96&_ss=c,2025-03-18 22:07:28,
ASUS,ROG Strix Z890-E Gaming WiFi,LGA1851,ATX,DDR5,4,7,4,1,3250,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-z890-e-gaming-wifi-lga1851-atx-motherboard?_pos=73&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
ASUS,ROG Strix Z890-F Gaming WiFi,LGA1851,ATX,DDR5,4,5,4,1,2250,https://brightstarcomp.com/collections/pc-components/products/asus-rog-strix-z890-f-gaming-wifi-lga1851-atx-motherboard?_pos=74&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
ASUS,TUF Gaming Z890-Pro WiFi,LGA1851,ATX,DDR5,4,4,4,1,1750,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-z890-pro-wifi-lga1851-atx-motherboard?_pos=81&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
GIGABYTE,X870 AORUS Elite WiFi7,AM5,ATX,DDR5,4,4,4,1,1599,https://brightstarcomp.com/collections/pc-components/products/gigabyte-x870-aorus-elite-wifi7-am5-atx-motherboard?_pos=115&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,Black
GIGABYTE,X870 AORUS Elite WiFi7,AM5,ATX,DDR5,4,4,4,1,1659,https://brightstarcomp.com/collections/pc-components/products/gigabyte-x870-aorus-elite-wifi7-am5-atx-motherboard?_pos=115&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,White
GIGABYTE,X870 Gaming X WiFi7,AM5,ATX,DDR5,4,3,4,1,1329,https://brightstarcomp.com/collections/pc-components/products/gigabyte-x870-gaming-x-wifi7-am5-atx-motherboard?_pos=116&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
ASRock,X870 Pro RS WiFi,AM5,ATX,DDR5,4,3,4,1,1209,https://brightstarcomp.com/collections/pc-components/products/asrock-x870-pro-rs-wifi-am5-atx-motherboard?_pos=32&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASRock,X870 Steel Legend WiFi,AM5,ATX,DDR5,4,3,4,1,1379,https://brightstarcomp.com/collections/pc-components/products/asrock-x870-steel-legend-wifi-am5-atx-motherboard?_pos=33&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
GIGABYTE,X870E AORUS Elite WiFi7,AM5,ATX,DDR5,4,4,4,1,1799,https://brightstarcomp.com/collections/pc-components/products/gigabyte-x870e-aorus-elite-wifi7-am5-atx-motherboard?_pos=117&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
GIGABYTE,X870E AORUS Master WIFI,AM5,ATX,DDR5,4,4,4,1,2799,https://brightstarcomp.com/collections/pc-components/products/gigabyte-x870e-aorus-master-wifi-am5-atx-motherboard?_pos=118&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
GIGABYTE,Z790 Aero G,LGA1700,ATX,DDR5,4,5,4,1,1799,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z790-aero-g-lga1700-atx-motherboard?_pos=119&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
GIGABYTE,Z890 Aero G,LGA1851,ATX,DDR5,4,5,4,1,1799,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z890-aero-g-lga1851-atx-motherboard?_pos=121&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
GIGABYTE,Z890 AORUS Elite WiFi7,LGA1851,ATX,DDR5,4,4,4,1,1499,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z890-aorus-elite-wifi7-lga1851-atx-motherboard?_pos=122&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,Black
GIGABYTE,Z890 AORUS Elite WiFi7,LGA1851,ATX,DDR5,4,4,4,1,1559,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z890-aorus-elite-wifi7-lga1851-atx-motherboard?_pos=122&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,Ice
GIGABYTE,Z890 AORUS Elite X Ice,LGA1851,ATX,DDR5,4,5,4,1,1759,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z890-aorus-elite-x-ice-lga1851-atx-motherboard?_pos=123&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
GIGABYTE,Z890 AORUS Pro Ice,LGA1851,ATX,DDR5,4,5,4,1,2299,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z890-aorus-pro-ice-lga1851-atx-motherboard?_pos=124&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
ASRock,Z890 Pro RS WiFi,LGA1851,ATX,DDR5,4,4,4,1,1329,https://brightstarcomp.com/collections/pc-components/products/asrock-z890-pro-rs-wifi-lga1851-atx-motherboard?_pos=36&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,Black
ASRock,Z890 Pro RS WiFi,LGA1851,ATX,DDR5,4,4,4,1,1349,https://brightstarcomp.com/collections/pc-components/products/asrock-z890-pro-rs-wifi-lga1851-atx-motherboard?_pos=36&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,White
ASRock,Z890 Pro-A Wifi,LGA1851,ATX,DDR5,4,4,4,1,1169,https://brightstarcomp.com/collections/pc-components/products/asrock-z890-pro-a-wifi-lga1851-atx-motherboard?_pos=37&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASRock,Z890 Steel Legend WiFi,LGA1851,ATX,DDR5,4,4,4,1,1419,https://brightstarcomp.com/collections/pc-components/products/asrock-z890-steel-legend-wifi-lga1851-atx-motherboard?_pos=38&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
MSI,MEG Z790 GODLIKE MAX,LGA1700,E-ATX,DDR5,4,7,6,1,4999,https://brightstarcomp.com/collections/pc-components/products/msi-meg-z790-godlike-max-lga1700-e-atx-motherboard?_pos=142&_fid=5b876dc96&_ss=c,2025-03-18 22:07:32,
ASUS,TUF Gaming B550-PLUS WiFi II,AM4,ATX,DDR4,4,2,6,1,570,,,
ASUS,TUF Gaming H570-PRO WiFi,LGA1200,ATX,DDR4,4,3,6,1,963,,,
ASRock,X870E TAICHI,AM5,ATX,DDR5,4,4,6,1,2399,https://brightstarcomp.com/collections/pc-components/products/asrock-x870e-taichi-am5-atx-motherboard?_pos=34&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
GIGABYTE,Z690 UD,LGA1700,ATX,DDR4,4,3,6,0,890,https://shopee.com.my/product/59277182/13046054986?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkWVp3RFo3Mkw5czd4Z0hzdEF1WVFia0ppREZMZytXMWdoT040bXJSLzZ6cllYNVQ1S1N0Y1QyZWRiMFJ3UjNOamRxeTJxOXRNRUJPV3QrUVFEQk01S0hHM1lsaUZGOE4yOVFRMjZ1eVJmTVI,2025-04-14 14:08:00,
GIGABYTE,Z790 Aorus Elite X WIFI 7 ,LGA1700,ATX,DDR5,4,4,6,1,1399,https://brightstarcomp.com/collections/pc-components/products/gigabyte-z790-aorus-elite-x-wifi-7-intel-lga1700-socket-ddr5-atx-motherboard?_pos=120&_fid=5b876dc96&_ss=c,2025-03-18 22:07:31,
ASRock,PG Z790 RIPTIDE WIFI,LGA1700,ATX,DDR5,4,5,8,1,1099,https://brightstarcomp.com/collections/pc-components/products/asrock-pg-z790-riptide-wifi-lga1700-atx-motherboard?_pos=28&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASUS,TUF GAMING X570-PLUS,LGA1200,ATX,DDR4,4,2,8,0,953,,,
GIGABYTE,A520I AC,AM4,ITX,DDR4,2,1,4,1,500,,,
GIGABYTE,A620I AX (rev 1.0),AM5,ITX,DDR5,2,1,2,1,819,https://brightstarcomp.com/collections/pc-components/products/gigabyte-a620i-ax-rev-1-0-am5-mini-itx-motherboard?_pos=88&_fid=5b876dc96&_ss=c,2025-03-18 22:07:30,
GIGABYTE,A620M H,AM5,MATX,DDR5,2,1,4,0,329,https://czone.my/czone/a620m h-1739106874.html,2025-03-19 14:21:21,
