Brand,Name,Capacity (GB),Speed (MHz),DDR,Price,URL,Timestamp
XPG, Lancer Blade RGB,32,6000,DDR5,489,https://brightstarcomp.com/collections/pc-components/products/adata-xpg-lancer-blade-rgb-32gb-1x32gb-6000mhz-ddr5-dimm-memory-white?_pos=20&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,16GB,16,3200,DDR4,139,https://brightstarcomp.com/collections/pc-components/products/adata-16gb-1x16gb-3200mhz-ddr4-dimm-memory?_pos=5&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,16GB,16,5600,DDR5,199,https://brightstarcomp.com/collections/pc-components/products/adata-16gb-1x16gb-5600mhz-ddr5-dimm-memory?_pos=7&_fid=03913363d&_ss=c,2025-03-18 22:10:57
Kingston,16GB,16,3200,DDR4,129,https://brightstarcomp.com/collections/pc-components/products/kingston-16gb-1x16gb-3200mhz-ddr4-dimm-memory?_pos=85&_fid=03913363d&_ss=c,2025-03-18 22:11:01
ADATA,32GB,32,3200,DDR4,249,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-3200mhz-ddr4-dimm-memory?_pos=8&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,32GB,32,4800,DDR5,369,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-4800mhz-ddr5-dimm-memory?_pos=10&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,32GB,32,5600,DDR5,389,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-5600mhz-ddr5-dimm-memory?_pos=11&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,4GB,4,2666,DDR4,49,https://brightstarcomp.com/collections/pc-components/products/adata-4gb-1x4gb-2666mhz-ddr4-dimm-memory?_pos=12&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,3200,DDR4,79,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-3200mhz-ddr4-dimm-memory?_pos=14&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,4800,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-4800mhz-ddr5-dimm-memory?_pos=16&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,5600,DDR5,159,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-5600mhz-ddr5-dimm-memory?_pos=17&_fid=03913363d&_ss=c,2025-03-18 22:10:57
Kingston,8GB,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/kingston-8gb-1x8gb-3200mhz-ddr4-dimm-memory-1?_pos=88&_fid=03913363d&_ss=c,2025-03-18 22:11:01
KLEVV,CRAS XR RGB,8,3600,DDR4,119,,2025-01-05 00:00:00
KLEVV,CRAS XR RGB,8,3600,DDR4,215,,2025-01-05 00:00:00
Kingston,DDR4,4,2666,DDR4,30,,2025-01-05 00:00:00
Kingston,DDR4,8,3200,DDR4,59,,2025-01-05 00:00:00
Samsung,DDR4,4,3200,DDR4,37,,2025-01-05 00:00:00
Samsung,DDR4,8,3200,DDR4,66,,2025-01-05 00:00:00
Samsung,DDR4,16,3200,DDR4,148,,2025-01-05 00:00:00
Transcend,DDR4,8,3200,DDR4,79,https://brightstarcomp.com/collections/pc-components/products/transcend-ddr4-3200-unbuffered-long-dimm-memory?_pos=144&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Transcend,DDR5,8,4800,DDR5,99,https://brightstarcomp.com/collections/pc-components/products/transcend-ddr5-4800-u-dimm-desktop-memory?_pos=146&_fid=26024e9c4&_ss=c,2025-03-18 22:11:04
Lexar,Desktop Memory DDR4,16,3200,DDR4,129,https://brightstarcomp.com/collections/pc-components/products/lexar-desktop-memory-ddr4-16gb-3200mhz?_pos=135&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
PNY,Desktop Memory DDR4,4,2666,DDR4,49,https://brightstarcomp.com/collections/pc-components/products/pny-desktop-memory-ddr4-4gb-2666mhz-memory?_pos=139&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Kingston,Fury Beast,16,3200,DDR4,139,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=90&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,5200,DDR5,199,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-5200mhz-ddr5-dimm-memory-black?_pos=91&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,6000,DDR5,239,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-6000mhz-ddr5-dimm-memory-black?_pos=92&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,6000,DDR5,239,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-6000mhz-ddr5-dimm-memory-black-eol?_pos=93&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,3200,DDR4,249,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-3200mhz-ddr4-dimm-memory-black?_pos=95&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,5200,DDR5,379,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-5200mhz-ddr5-dimm-memory-black?_pos=96&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,6000,DDR5,439,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-6000mhz-ddr5-dimm-memory-black?_pos=97&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black?_pos=103&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,4800,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-4800mhz-ddr5-dimm-memory-black?_pos=104&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,5200,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-5200mhz-ddr5-dimm-memory-black?_pos=105&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,6000,DDR5,139,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-6000mhz-ddr5-dimm-memory-black?_pos=106&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
