,Unnamed: 0,Brand,Model Name,Rating,Wattage
0,6,Cooler,Cooler Master i500 500,bronze,500
1,7,Cooler,Cooler Master MWE Bronze 500,bronze,500
2,8,Cooler,Cooler Master MWE Bronze V2 500,bronze,500
3,9,Corsair,Corsair CX500 500,bronze,500
4,10,Corsair,Corsair CX-500 V3 500,bronze,500
5,11,Corsair,Corsair CX500M 500,bronze,500
6,12,Corsair,Corsair Vengeance 500 500,bronze,500
7,13,Corsair,Corsair VS500 (2020) 500,bronze,500
8,14,Deepcool,Deepcool DA500 500,bronze,500
9,15,Deepcool,Deepcool PK500D 500,bronze,500
10,22,FSP,FSP Group Berserker 500 500,bronze,500
11,23,FSP,FSP Group Berzerker 500,bronze,500
12,24,FSP,FSP Group Hydro Pro 500,bronze,500
13,25,Gigabyte,Gigabyte PB500 500,bronze,500
14,32,Silverstone,Silverstone ET500-ARGB 500,bronze,500
15,33,Silverstone,Silverstone Strider 500,bronze,500
16,34,Silverstone,Silverstone Strider Plus 500,bronze,500
17,35,Thermaltake,Thermaltake TR2 500,bronze,500
18,44,Asus,Asus TUF Gaming B 550,bronze,550
19,47,Cooler,Cooler Master G550M 550,bronze,550
20,48,Cooler,Cooler Master GXII 550,bronze,550
21,49,Cooler,Cooler Master MasterWatt 550 550,bronze,550
22,50,Cooler,Cooler Master MasterWatt TUF Gaming Alliance 550,bronze,550
23,51,Cooler,Cooler Master MWE Bronze 550 550,bronze,550
24,52,Cooler,Cooler Master MWE Bronze V2 550,bronze,550
25,53,Cooler,Cooler Master MWE White V2 230V 550,bronze,550
26,54,Corsair,Corsair CV550 550,bronze,550
27,55,Corsair,Corsair CX (2023) 550,bronze,550
28,56,Corsair,Corsair CX550 (2017) 550,bronze,550
29,57,Corsair,Corsair CX550F 550,bronze,550
30,58,Corsair,Corsair CX550M 550,bronze,550
31,59,Corsair,Corsair CX550M (2021) 550,bronze,550
32,60,Corsair,Corsair TX550M 550,bronze,550
33,61,Corsair,Corsair Vengeance 550M 550,bronze,550
34,62,Deepcool,Deepcool PK550D 550,bronze,550
35,63,Deepcool,Deepcool PL550D 550,bronze,550
36,69,FSP,FSP Group HEXA 85+ 550,bronze,550
37,70,FSP,FSP Group HEXA 85+ PRO 550,bronze,550
38,71,FSP,FSP Group Hyper M85+ 550,bronze,550
39,72,FSP,FSP Group Raider 550 550,bronze,550
40,73,Gigabyte,Gigabyte GreenMax Plus 550,bronze,550
41,74,Gigabyte,Gigabyte P550B 550,bronze,550
42,76,MSI,MSI MAG A550BN 550,bronze,550
43,88,Silverstone,Silverstone Essential 550,bronze,550
44,89,Silverstone,Silverstone VA550-B 550,bronze,550
45,91,Thermaltake,Thermaltake Smart 550,bronze,550
46,92,Thermaltake,Thermaltake Smart BM2 550,bronze,550
47,93,Thermaltake,Thermaltake Smart BX1 550 550,bronze,550
48,94,Thermaltake,Thermaltake Smart BX1 RGB 550 550,bronze,550
49,102,Cooler,Cooler Master i600 600,bronze,600
50,103,Cooler,Cooler Master MWE 600,bronze,600
51,104,Cooler,Cooler Master MWE Bronze V2 600,bronze,600
52,105,Corsair,Corsair CX600 600,bronze,600
53,106,Corsair,Corsair CX-600 V3 600,bronze,600
54,107,Corsair,Corsair CX600M 600,bronze,600
55,108,Corsair,Corsair GS600 600,bronze,600
56,109,Corsair,Corsair VS600 (2020) 600,bronze,600
57,110,Deepcool,Deepcool DA600-M 600,bronze,600
58,111,Deepcool,Deepcool DA600N 600,bronze,600
59,112,Deepcool,Deepcool PK600D 600,bronze,600
60,117,FSP,FSP Group Hydro Pro 600,bronze,600
61,123,Silverstone,Silverstone Strider 600,bronze,600
