Name,Brand,Type,Price (USD),CPU,GPU,Memory,Storage,Link
OMEN 35L Gaming Desktop GT16-0000t PC,HP,OEM,1399.99,25844,19848,16384,512GB,https://www.hp.com/us-en/shop/pdp/omen-35l-gaming-desktop-pc-9x560av-1
OMEN HP 45L Gaming Desktop GT22-3000t PC,HP,OEM,2299.99,59041,30137,16384,1TB,https://www.hp.com/us-en/shop/pdp/omen-by-hp-45l-gaming-desktop-gt22-3000t-pc-a4nd8av-1
Player: One,NZXT,IS,829.99,25138,10698,16384,1TB,https://nzxt.com/product/player-one
Player: Two,NZXT,IS,1599.00,28478,26934,16384,1TB,https://nzxt.com/product/player-one
Player: Three,NZXT,IS,2299.00,46500,31814,32768,1TB,https://nzxt.com/product/player-three
Alienware Aurora R16 Gaming Desktop,Dell,OEM,1599.00,42910,22864,16384,1TB,https://www.dell.com/en-us/shop/desktop-computers/alienware-aurora-r16-gaming-desktop/spd/alienware-aurora-r16-desktop/useahctor16i12
LOQ Gaming Tower 17IRR9,Lenovo,OEM,899.00,25844,10698,16384,512GB,https://www.lenovo.com/us/en/p/desktops/loq-desktops/lenovo-loq-tower-17irr9/len102q0002?displayrulevalidation=false
Legion Tower 5 Gen 8 (AMD) with RTX 4070 Ti Super,Lenovo,OEM,1609.99,34636,31818,32768,1TB,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/legion-tower-5-gen-8-amd/90ux0013us
Legion Tower 7i Gen 8 (Intel) with RTX 4080 Super,Lenovo,OEM,2349.99,59393,34286,32768,1TB,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/legion-tower-7i-gen-8-intel/90v6000uus
RDY Slate VALORANT VCTA R002,iBUYPOWER,IS,1499.00,35951,22864,32768,1TB,https://www.ibuypower.com/store/rdy-slate-valorant-vcta-r002
RDY Slate 6M 001,iBUYPOWER,IS,1149.00,24259,16579,16384,1TB,https://www.ibuypower.com/store/rdy-slate-6m-001
NEURON RTX4060,Origin,IS,1699.00,37775,19848,32768,1TB,https://www.originpc.com/prebuilt-gaming-pc/
NEURON RTX4080 SUPER,Origin,IS,3299.00,59962,34286,32768,2TB,https://www.originpc.com/prebuilt-gaming-pc/
Horizon II PC,Starforge Systems,IS,999.00,19520,17216,16384,1TB,https://starforgesystems.com/products/horizon-ii-pc
