Brand,Name,Size,Price,URL,Timestamp,Note
1st Player,Black Sir B5-M,Micro-ATX,RM 135.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-black-sir-b5-m-micro-atx-pc-chasis?_pos=1&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.939353,
1st Player,BS-2,Micro-ATX,From RM 150.00 to RM 165.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-bs-2-micro-atx-pc-chassis?_pos=2&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.939353,
1st Player,D7,Micro-ATX,From RM 179.00 to RM 189.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-d7-micro-atx-chassis?_pos=3&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.939353,
1st Player,Mi5,Micro-ATX,From RM 169.00 to RM 179.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-mi5-micro-atx-chassis?_pos=4&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,Mi7-A BLACK / WHITE Double Sided Tempered Glass Megaview Tower  PC Gaming Casing MI7A,ATX,RM 199.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-mi7-a-black-white-double-sided-tempered-glass-megaview-tower-atx-pc-gaming-casing-mi7a?_pos=5&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,Mi8,Micro-ATX,From RM 354.00 to RM 369.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-mi8-micro-atx-chassis?_pos=6&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,MV5-TP,Micro-ATX,From RM 199.00 to RM 209.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-mv5-tp-micro-atx-chassis?_pos=7&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,MV8-TP Tempered Glass,Micro-ATX,From RM 329.00 to RM 349.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-mv8tp-tempered-glass-micro-atx-chassis?_pos=8&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,SP7 Tempered Glass,Micro-ATX,From RM 379.00 to RM 399.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-sp7-tempered-glass-micro-atx-chassis?_pos=9&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,T3 Tempered Glass,Micro-ATX,From RM 185.00 to RM 195.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-t3-tempered-glass-micro-atx-chassis?_pos=10&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,T4 Tempered Glass,Micro-ATX,From RM 185.00 to RM 195.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-t4-tempered-glass-micro-atx-chassis?_pos=11&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,T5 Tempered Glass,Micro-ATX,From RM 183.00 to RM 193.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-t5-tempered-glass-micro-atx-chassis?_pos=12&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,T7-P Tempered Glass,ATX,From RM 199.00 to RM 209.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-t7-p-tempered-glass-mid-tower-atx-chassis?_pos=13&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,Mid-Tower
1st Player,UV5,Micro-ATX,From RM 239.00 to RM 249.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-uv5-micro-atx-chassis?_pos=14&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,UV6,Micro-ATX,From RM 249.00 to RM 259.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-uv6-micro-atx-chassis?_pos=15&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.940351,
1st Player,X4-M,Micro-ATX,RM 175.00,https://brightstarcomp.com/collections/pc-components/products/1st-player-x4-m-micro-atx-chassis?_pos=16&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.941351,
,1stPlayer UN1,Mini-ITX,RM 139.00,https://brightstarcomp.com/collections/pc-components/products/1stplayer-un1-mini-itx-pc-case?_pos=17&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.941351,
Aerocool,CS-111 V2,Micro-ATX,From RM 119.00 to RM 169.00,https://brightstarcomp.com/collections/pc-components/products/aerocool-cs-111-v2-micro-atx-pc-chassis?_pos=18&_fid=559632eaf&_ss=c,2025-03-18 22:12:10.941351,
