Brand,Name,80+ Rating,Wattage,Price
1st Player,Steampunk PS-650SP,gold,650,326.0
1st Player,Steampunk PS-750SP,gold,750,383.0
1st Player,Steampunk PS-850SP,gold,850,411.0
Asus,Asus Prime AP-850G 850,gold,850,660.0
Asus,Asus TUF Gaming 850G 850,gold,850,749.0
Cooler,Cooler Master MWE Bronze V3 550 ,bronze,550,219.0
Cooler,Cooler Master MWE Bronze V3 650 ,bronze,650,255.0
Cooler,Cooler Master MWE Gold 650,gold,650,399.0
Cooler,Cooler Master MWE GOLD 650 V2 650,gold,650,395.0
Cooler,Cooler Master V650 650,gold,650,515.0
Cooler,Cooler Master MWE Bronze V3 750,bronze,750,289.0
Cooler,Cooler Master MWE GOLD 750 V2 750,gold,750,445.0
Cooler,Cooler Master MWE Gold 850 - V2 850,gold,850,599.0
Cooler,Cooler Master GX III Gold 1050,gold,1050,779.0
Cooler,Cooler Master GX III Gold 1250,gold,1250,879.0
Cooler,Cooler Master V1300 Platinum 1300,platinum,1300,1349.0
Deepcool,Deepcool PK550D 550,bronze,550,219.0
Deepcool,Deepcool PK650D 650,bronze,650,249.0
Deepcool,Deepcool PK750D 750,bronze,750,279.0
Gigabyte,Gigabyte P450B ,bronze,450,159.0
Gigabyte,Gigabyte P550SS,silver,550,179.0
Gigabyte,Gigabyte P650G 650,gold,650,259.0
Gigabyte,Gigabyte P650SS,silver,650,207.0
Gigabyte,Gigabyte GP-P650SS,silver,650,215.0
Gigabyte,Gigabyte UD750GM PG5 750,gold,750,519.0
Gigabyte,Gigabyte UD850GM 850,gold,850,475.0
Gigabyte,Gigabyte UD850GM PG5 (rev. 2.0) 850,gold,850,529.0
MSI,MSI MAG A650BN 650,bronze,650,217.0
MSI,MSI MAG A750BN ,bronze,750,319.0
Silverstone,Silverstone DA750R Gold White 750,gold,750,449.0
Silverstone,Silverstone Attis 750R,bronze,750,269.0
Thermaltake,Thermaltake Toughpower GF 750,gold,750,422.0
Thermaltake,Thermaltake Toughpower GF 850,gold,850,457.0
